RowKey,Order ID,Order Date,Ship Date,Ship Mode,Profit,Quantity,Sales
1,CA-2011-100006,2013-09-07 00:00:00,2013-09-13 00:00:00,Standard Class,109.61,3.00,377.97
2,CA-2011-100090,2013-07-08 00:00:00,2013-07-12 00:00:00,Standard Class,-19.09,9.00,699.19
3,CA-2011-100293,2013-03-14 00:00:00,2013-03-18 00:00:00,Standard Class,31.87,6.00,91.06
4,CA-2011-100328,2013-01-28 00:00:00,2013-02-03 00:00:00,Standard Class,1.33,1.00,3.93
5,CA-2011-100363,2013-04-08 00:00:00,2013-04-15 00:00:00,Standard Class,7.72,5.00,21.38
6,CA-2011-100391,2013-05-25 00:00:00,2013-05-29 00:00:00,Standard Class,6.73,2.00,14.62
7,CA-2011-100678,2013-04-18 00:00:00,2013-04-22 00:00:00,Standard Class,61.79,11.00,697.07
8,CA-2011-100706,2013-12-16 00:00:00,2013-12-18 00:00:00,Second Class,17.72,8.00,129.44
9,CA-2011-100762,2013-11-24 00:00:00,2013-11-29 00:00:00,Standard Class,219.08,11.00,508.62
10,CA-2011-100860,2013-03-26 00:00:00,2013-03-30 00:00:00,Second Class,9.00,5.00,18.75
11,CA-2011-100867,2013-10-19 00:00:00,2013-10-24 00:00:00,Standard Class,20.10,6.00,321.55
12,CA-2011-100881,2013-03-28 00:00:00,2013-04-01 00:00:00,Standard Class,22.68,3.00,302.38
13,CA-2011-100895,2013-06-02 00:00:00,2013-06-06 00:00:00,Standard Class,176.93,7.00,605.47
14,CA-2011-100916,2013-10-21 00:00:00,2013-10-26 00:00:00,Standard Class,122.97,10.00,788.86
15,CA-2011-100972,2013-11-19 00:00:00,2013-11-24 00:00:00,Second Class,79.89,3.00,166.44
16,CA-2011-101147,2013-12-02 00:00:00,2013-12-04 00:00:00,First Class,-6.34,1.00,2.39
17,CA-2011-101175,2013-12-09 00:00:00,2013-12-14 00:00:00,Standard Class,-1.26,6.00,100.70
18,CA-2011-101266,2013-08-27 00:00:00,2013-08-30 00:00:00,Second Class,6.41,2.00,13.36
19,CA-2011-101364,2013-12-22 00:00:00,2013-12-26 00:00:00,Standard Class,100.14,13.00,296.71
20,CA-2011-101392,2013-12-07 00:00:00,2013-12-13 00:00:00,Standard Class,70.03,7.00,269.36
21,CA-2011-101427,2013-12-26 00:00:00,2013-12-30 00:00:00,Standard Class,1.10,3.00,8.02
22,CA-2011-101462,2013-04-20 00:00:00,2013-04-25 00:00:00,Standard Class,27.56,4.00,59.92
23,CA-2011-101476,2013-09-12 00:00:00,2013-09-13 00:00:00,First Class,30.10,1.00,69.99
24,CA-2011-101560,2013-11-28 00:00:00,2013-12-01 00:00:00,Second Class,110.84,19.00,542.34
25,CA-2011-101602,2013-12-15 00:00:00,2013-12-18 00:00:00,First Class,-30.96,8.00,803.96
26,CA-2011-101770,2013-03-31 00:00:00,2013-04-04 00:00:00,Standard Class,-1.31,1.00,1.87
27,CA-2011-101833,2013-11-17 00:00:00,2013-11-22 00:00:00,Second Class,17.22,3.00,34.44
28,CA-2011-101931,2013-10-28 00:00:00,2013-10-31 00:00:00,First Class,18.61,17.00,1252.60
29,CA-2011-102008,2013-09-30 00:00:00,2013-10-04 00:00:00,Standard Class,24.47,1.00,48.94
30,CA-2011-102085,2013-10-04 00:00:00,2013-10-09 00:00:00,Standard Class,13.74,4.00,29.24
31,CA-2011-102274,2013-11-21 00:00:00,2013-11-26 00:00:00,Standard Class,323.13,13.00,865.50
32,CA-2011-102295,2013-11-24 00:00:00,2013-11-26 00:00:00,Second Class,-18.11,1.00,120.71
33,CA-2011-102330,2013-12-29 00:00:00,2014-01-03 00:00:00,Standard Class,80.40,10.00,408.77
34,CA-2011-102645,2013-01-23 00:00:00,2013-01-28 00:00:00,Standard Class,19.24,6.00,40.08
35,CA-2011-102652,2013-04-06 00:00:00,2013-04-12 00:00:00,Standard Class,64.51,13.00,199.99
36,CA-2011-102673,2013-11-01 00:00:00,2013-11-05 00:00:00,Standard Class,127.97,29.00,1044.44
37,CA-2011-102869,2013-09-09 00:00:00,2013-09-14 00:00:00,Second Class,-26.01,13.00,233.24
38,CA-2011-102988,2013-04-05 00:00:00,2013-04-09 00:00:00,Second Class,112.27,22.00,4251.92
39,CA-2011-103058,2013-07-23 00:00:00,2013-07-24 00:00:00,First Class,8.00,2.00,99.98
40,CA-2011-103086,2013-10-17 00:00:00,2013-10-19 00:00:00,Second Class,-1.59,2.00,5.31
41,CA-2011-103100,2013-12-20 00:00:00,2013-12-23 00:00:00,First Class,498.52,4.00,1107.66
42,CA-2011-103191,2013-09-22 00:00:00,2013-09-27 00:00:00,Standard Class,-82.88,3.00,331.54
43,CA-2011-103219,2013-11-09 00:00:00,2013-11-13 00:00:00,Standard Class,21.48,9.00,56.52
44,CA-2011-103310,2013-05-10 00:00:00,2013-05-15 00:00:00,Standard Class,187.66,14.00,1769.78
45,CA-2011-103317,2013-07-05 00:00:00,2013-07-08 00:00:00,First Class,14.49,10.00,242.55
46,CA-2011-103331,2013-08-26 00:00:00,2013-09-01 00:00:00,Standard Class,14.11,8.00,31.40
47,CA-2011-103366,2013-01-15 00:00:00,2013-01-17 00:00:00,First Class,65.98,5.00,149.95
48,CA-2011-103373,2013-05-18 00:00:00,2013-05-24 00:00:00,Standard Class,-168.96,2.00,779.80
49,CA-2011-103401,2013-11-21 00:00:00,2013-11-26 00:00:00,Standard Class,6.22,2.00,12.96
50,CA-2011-103429,2013-05-30 00:00:00,2013-06-01 00:00:00,First Class,239.36,14.00,765.49
51,CA-2011-103492,2013-10-10 00:00:00,2013-10-15 00:00:00,Standard Class,117.40,19.00,1488.77
52,CA-2011-103527,2013-09-09 00:00:00,2013-09-14 00:00:00,Second Class,3.41,3.00,10.90
53,CA-2011-103590,2013-11-30 00:00:00,2013-12-04 00:00:00,Standard Class,29.27,4.00,62.28
54,CA-2011-103660,2013-08-25 00:00:00,2013-08-30 00:00:00,Standard Class,75.60,7.00,1007.94
55,CA-2011-103702,2013-09-12 00:00:00,2013-09-17 00:00:00,Standard Class,-46.88,7.00,63.92
56,CA-2011-103744,2013-02-23 00:00:00,2013-02-27 00:00:00,Standard Class,-4.52,6.00,11.36
57,CA-2011-103800,2013-01-03 00:00:00,2013-01-07 00:00:00,Standard Class,5.55,2.00,16.45
58,CA-2011-103807,2013-12-02 00:00:00,2013-12-09 00:00:00,Standard Class,8.00,4.00,21.19
